time_s,displacement
1.904000000000000066e-05,-4.869224912726771620e-11
1.919999999999999913e-05,-5.826898436542698271e-11
1.936000000000000099e-05,-6.272327546805605373e-11
1.951999999999999946e-05,-5.964704869474295826e-11
1.968000000000000131e-05,-5.715336982023849671e-11
1.983999999999999978e-05,-2.409683834978398469e-11
2.000000000000000164e-05,-6.714455825238423806e-11
2.016000000000000010e-05,-6.498574345878842898e-11
2.032000000000000196e-05,-4.164806444726259954e-11
2.048000000000000043e-05,-4.388716918222051916e-11
2.063999999999999890e-05,1.475845257627488269e-13
2.080000000000000075e-05,1.485197110564623753e-11
2.095999999999999922e-05,-1.840360559267024724e-13
2.112000000000000108e-05,1.733569124621918030e-12
2.127999999999999955e-05,8.761018276732983346e-12
2.144000000000000140e-05,6.928562214843118917e-12
2.159999999999999987e-05,-3.244443452181496438e-12
2.176000000000000173e-05,-1.327344928978440723e-11
2.192000000000000019e-05,-3.036588092650710408e-11
2.208000000000000205e-05,-1.310151564190991795e-11
2.224000000000000052e-05,2.892989557547080311e-12
2.239999999999999899e-05,1.335670452148457894e-11
2.256000000000000084e-05,2.495908243407413547e-11
2.271999999999999931e-05,1.591017671212075353e-11
2.288000000000000117e-05,1.158690493682352081e-11
2.303999999999999964e-05,1.044238370685627744e-12
2.320000000000000149e-05,-2.249257475281801337e-11
2.335999999999999996e-05,-1.923388641499153676e-12
2.352000000000000182e-05,-3.784196276655456029e-13
2.368000000000000028e-05,-2.219195977163874770e-13
2.384000000000000214e-05,-2.953085922506277808e-13
2.400000000000000061e-05,7.530350365404674129e-12
2.415999999999999908e-05,2.057720736294971626e-11
2.432000000000000093e-05,1.487207134656238079e-11
2.447999999999999940e-05,-3.349716447363755959e-12
2.464000000000000126e-05,1.293116557712487431e-11
2.479999999999999972e-05,2.946479420997810778e-11
2.496000000000000158e-05,-3.104774480054379763e-13
2.512000000000000005e-05,-1.933559313225124558e-11
2.528000000000000191e-05,3.067553058224831247e-11
2.544000000000000037e-05,-6.236977190353483457e-12
2.559999999999999884e-05,-9.476582822719288579e-12
2.576000000000000070e-05,-2.695221446206670405e-13
2.591999999999999917e-05,-1.424352227006192155e-11
2.608000000000000102e-05,-1.831414284678572617e-11
2.623999999999999949e-05,-4.077027355173662343e-11
2.640000000000000135e-05,-3.617832173294793691e-11
2.655999999999999981e-05,-1.872912339670889796e-11
2.672000000000000167e-05,-4.838605320665985409e-12
2.688000000000000014e-05,7.434301328625052286e-12
2.704000000000000200e-05,2.049752977897462554e-11
2.720000000000000046e-05,1.641054902514888365e-11
2.735999999999999893e-05,2.169474398174959102e-11
2.752000000000000079e-05,3.143459700307843591e-11
2.767999999999999926e-05,2.029329384525397213e-11
2.784000000000000111e-05,1.261496191664729789e-11
2.799999999999999958e-05,1.564182886817494929e-11
2.816000000000000144e-05,-4.057341498374074132e-13
2.831999999999999990e-05,5.691399932501621529e-12
2.848000000000000176e-05,-5.822331442061175188e-12
2.864000000000000023e-05,-1.050163959829136377e-11
2.880000000000000208e-05,-5.326306346063842944e-12
2.896000000000000055e-05,-4.961375170507816001e-12
2.911999999999999902e-05,2.327368928958368084e-11
2.928000000000000088e-05,-3.089912983898875480e-12
2.943999999999999935e-05,-7.124843359827932864e-12
2.960000000000000120e-05,-1.010931453696444908e-11
2.975999999999999967e-05,-3.489977848944875077e-11
2.992000000000000153e-05,-3.125039214077901434e-11
3.007999999999999999e-05,-2.786899293370888712e-12
3.024000000000000185e-05,3.103738944239157634e-12
3.040000000000000032e-05,-6.786490870145895951e-13
3.055999999999999879e-05,1.518769387467550498e-11
3.072000000000000403e-05,3.212768148177630551e-11
3.088000000000000250e-05,2.195409728447245552e-11
3.104000000000000097e-05,2.169861241510101930e-11
3.119999999999999944e-05,2.498732373226303789e-11
3.135999999999999790e-05,3.217238183630527587e-11
3.152000000000000315e-05,1.696913692330731944e-11
3.168000000000000162e-05,1.032957909615900700e-11
3.184000000000000008e-05,-3.043335658568898209e-12
3.199999999999999855e-05,-2.326807941330649303e-11
3.216000000000000380e-05,-2.635284449556834634e-11
3.232000000000000226e-05,-2.310106370648639800e-11
3.248000000000000073e-05,2.817202307807302072e-12
3.263999999999999920e-05,2.234662183899910755e-11
3.279999999999999767e-05,3.296854705339263930e-11
3.296000000000000291e-05,2.342802590251786139e-11
3.312000000000000138e-05,9.159782197921854952e-12
3.327999999999999985e-05,-1.164315269761445197e-11
3.343999999999999832e-05,-2.010902653290940893e-11
3.360000000000000356e-05,-2.468279151077595461e-11
3.376000000000000203e-05,-3.614110844494128244e-11
3.392000000000000050e-05,-6.121252560950956415e-11
3.407999999999999897e-05,-4.084096006393572637e-11
3.423999999999999743e-05,-3.393724982156825959e-11
3.440000000000000268e-05,-8.019672709334953175e-12
3.456000000000000115e-05,-1.306132730314196326e-11
3.471999999999999961e-05,-7.986094534372208109e-12
3.487999999999999808e-05,2.185836310000372347e-11
3.504000000000000333e-05,1.214489782482969655e-11
3.520000000000000180e-05,-9.951710572363266216e-12
3.536000000000000026e-05,1.253516463675236476e-11
3.551999999999999873e-05,3.266176120666614097e-11
3.568000000000000398e-05,1.922895078712145018e-11
3.584000000000000244e-05,9.933315778860755963e-12
3.600000000000000091e-05,-7.253239905400905610e-13
3.615999999999999938e-05,-7.369794988253237910e-12
3.631999999999999785e-05,-1.471732729305546687e-11
3.648000000000000309e-05,-6.804082580778965372e-12
3.664000000000000156e-05,-7.658152867494434623e-12
3.680000000000000003e-05,-7.312907333943792487e-12
3.695999999999999850e-05,1.892623113222264149e-11
3.712000000000000374e-05,-7.563149001609088806e-12
3.728000000000000221e-05,-2.312349206644411352e-12
3.744000000000000068e-05,2.119524249990640126e-11
3.759999999999999915e-05,1.233724222912252895e-11
3.775999999999999761e-05,1.798713684377912099e-11
3.792000000000000286e-05,-2.653501127722762281e-11
3.808000000000000133e-05,-1.410229322771222176e-11
3.823999999999999979e-05,-2.467035007400624895e-11
3.839999999999999826e-05,6.083937497454343380e-12
3.856000000000000351e-05,2.057280290004421115e-11
3.872000000000000197e-05,1.024946609659144610e-11
3.888000000000000044e-05,2.655711478417758672e-12
3.903999999999999891e-05,1.117608512115747939e-11
3.920000000000000416e-05,2.293755018692017895e-11
3.936000000000000262e-05,4.055930503346520677e-12
3.952000000000000109e-05,7.378874745163248328e-12
3.967999999999999956e-05,-4.005529524818525466e-12
3.983999999999999803e-05,-2.023028543860366373e-11
4.000000000000000327e-05,-1.730388499718720912e-11
4.016000000000000174e-05,-3.978792740286657320e-11
4.032000000000000021e-05,-2.282150087526840370e-11
4.047999999999999868e-05,7.402458310819153021e-12
4.064000000000000392e-05,2.616122151679739911e-11
4.080000000000000239e-05,2.484486824041582249e-11
4.096000000000000086e-05,1.138991841250897448e-11
4.111999999999999933e-05,1.080635904977704117e-12
4.127999999999999779e-05,2.959627116733036130e-12
4.144000000000000304e-05,1.024551699859838490e-11
4.160000000000000151e-05,6.727251458583831401e-12
4.175999999999999997e-05,3.549799233638798897e-12
4.191999999999999844e-05,1.037571840381130013e-11
4.208000000000000369e-05,1.790876030241101287e-11
4.224000000000000215e-05,1.767354220740941369e-11
4.240000000000000062e-05,2.522760028092058544e-11
4.255999999999999909e-05,3.462574226778109093e-11
4.271999999999999756e-05,3.669807415720555227e-11
4.288000000000000280e-05,2.228768113945584357e-11
4.304000000000000127e-05,-2.421647355430472519e-11
4.319999999999999974e-05,-3.571669099930879682e-11
4.335999999999999821e-05,-3.464566231689986026e-11
4.352000000000000345e-05,-4.166366655020553494e-11
4.368000000000000192e-05,-1.791151526273498522e-11
4.384000000000000039e-05,-1.934120941964153188e-12
4.399999999999999886e-05,1.509904516824440020e-11
4.416000000000000410e-05,1.161160739912143054e-11
4.432000000000000257e-05,9.620393347837989673e-12
4.448000000000000104e-05,1.864360304462259617e-11
4.463999999999999950e-05,2.339795273633832746e-11
4.479999999999999797e-05,9.725968184905069159e-12
4.496000000000000322e-05,4.463169741337928720e-12
4.512000000000000169e-05,-1.343959069597260996e-11
4.528000000000000015e-05,-2.266929970693315059e-11
4.543999999999999862e-05,-3.994301862051280366e-11
4.560000000000000387e-05,-2.957482620477996832e-11
4.576000000000000233e-05,-1.901994978745640967e-11
4.592000000000000080e-05,8.706466861264809687e-12
4.607999999999999927e-05,1.625154947551127744e-11
4.623999999999999774e-05,2.125709059599540236e-11
4.640000000000000298e-05,1.965663645178267611e-11
4.656000000000000145e-05,9.627292776782818429e-12
4.671999999999999992e-05,1.492215095845354385e-12
4.687999999999999839e-05,-5.002966033206097939e-12
4.704000000000000363e-05,-5.786237050696525763e-12
4.720000000000000210e-05,-9.387856921093502826e-12
4.736000000000000057e-05,-4.235296239283187120e-11
4.751999999999999904e-05,-6.094401817100397004e-11
4.768000000000000428e-05,-3.806823357108562916e-11
4.784000000000000275e-05,-1.284849581459784478e-11
4.800000000000000122e-05,6.909372270070994482e-12
4.815999999999999968e-05,1.164421759838458055e-11
4.831999999999999815e-05,4.003093592155465658e-11
4.848000000000000340e-05,3.618578949806788941e-11
4.864000000000000186e-05,2.545437027259417757e-11
4.880000000000000033e-05,1.330098260135098993e-11
4.895999999999999880e-05,8.070258761173791662e-12
4.912000000000000405e-05,9.479098819677071753e-12
4.928000000000000251e-05,-1.191129584419009095e-11
4.944000000000000098e-05,-9.731418038148971483e-12
4.959999999999999945e-05,1.733088661600840492e-11
4.975999999999999792e-05,7.487000493101751709e-12
4.992000000000000316e-05,1.587784667069897378e-11
5.008000000000000163e-05,2.581838117734619882e-11
5.024000000000000010e-05,8.886200693249028682e-12
5.039999999999999857e-05,-5.149384620970993734e-13
5.056000000000000381e-05,-6.672019817276327024e-12
5.072000000000000228e-05,-2.326507834169305315e-11
5.088000000000000075e-05,-2.098412166815371709e-11
5.103999999999999922e-05,-5.942526962264656198e-12
5.119999999999999768e-05,-4.692655228376414733e-12
5.136000000000000293e-05,-8.011240338655041296e-13
5.152000000000000140e-05,-8.784042179831137708e-12
5.167999999999999986e-05,-1.255483662041406294e-11
5.183999999999999833e-05,-2.494901096915354669e-12
5.200000000000000358e-05,-1.182762319204982564e-11
5.216000000000000204e-05,-1.341709306721266675e-11
5.232000000000000051e-05,-7.138655228143660202e-12
5.247999999999999898e-05,-6.472049568583100587e-12
5.264000000000000422e-05,-2.674833022306849077e-11
5.280000000000000269e-05,-3.307950885997762341e-11
5.296000000000000116e-05,-4.357280953279790608e-11
