time_s,displacement
2.640000000000000135e-05,6.592332142830069406e-13
2.655999999999999981e-05,6.364274762265859646e-13
2.672000000000000167e-05,4.299303302505180355e-13
2.688000000000000014e-05,1.293466118039650644e-13
2.704000000000000200e-05,-1.494029842168868096e-13
2.720000000000000046e-05,-3.132720795337498998e-13
2.735999999999999893e-05,-3.280329446913534986e-13
2.752000000000000079e-05,-2.253201688572905757e-13
2.767999999999999926e-05,-7.964359650599426501e-14
2.784000000000000111e-05,3.122839862339811402e-14
2.799999999999999958e-05,6.201513687972313067e-14
2.816000000000000144e-05,1.498818709224552493e-14
2.831999999999999990e-05,-7.044800614215168574e-14
2.848000000000000176e-05,-1.449386385545214725e-13
2.864000000000000023e-05,-1.766534772306642245e-13
2.880000000000000208e-05,-1.643561114580801106e-13
2.896000000000000055e-05,-1.309673564881013543e-13
2.911999999999999902e-05,-1.040250714309120480e-13
2.928000000000000088e-05,-9.625844508499118660e-14
2.943999999999999935e-05,-9.812533532082303550e-14
2.960000000000000120e-05,-8.600609540674774604e-14
2.975999999999999967e-05,-4.000556803987842166e-14
2.992000000000000153e-05,4.023721241821680287e-14
3.007999999999999999e-05,1.317083672774597465e-13
3.024000000000000185e-05,1.986795125224034113e-13
3.040000000000000032e-05,2.117735994356379259e-13
3.055999999999999879e-05,1.645659563671119552e-13
3.072000000000000403e-05,7.844095892716867794e-14
3.088000000000000250e-05,-6.885092253881584181e-15
3.104000000000000097e-05,-5.201318131327605159e-14
3.119999999999999944e-05,-3.601490423670888174e-14
3.135999999999999790e-05,3.469668958766051410e-14
3.152000000000000315e-05,1.302860018579612835e-13
3.168000000000000162e-05,2.112614652371200347e-13
3.184000000000000008e-05,2.449578918629957868e-13
3.199999999999999855e-05,2.174235658459633575e-13
3.216000000000000380e-05,1.366292738039347551e-13
3.232000000000000226e-05,2.732718462088739674e-14
3.248000000000000073e-05,-7.886792325834919265e-14
3.263999999999999920e-05,-1.537249630750905681e-13
3.279999999999999767e-05,-1.797056947490942921e-13
3.296000000000000291e-05,-1.530868424560072259e-13
3.312000000000000138e-05,-8.328180223943829642e-14
3.327999999999999985e-05,1.050986080147578265e-14
3.343999999999999832e-05,1.041437613242385652e-13
3.360000000000000356e-05,1.738358450563724335e-13
3.376000000000000203e-05,2.009934537516812096e-13
3.392000000000000050e-05,1.757378588887272231e-13
3.407999999999999897e-05,9.860225195361355491e-14
3.423999999999999743e-05,-1.958241700321536919e-14
3.440000000000000268e-05,-1.591645555363980712e-13
3.456000000000000115e-05,-2.940673623406190680e-13
3.471999999999999961e-05,-3.951256788171514886e-13
3.487999999999999808e-05,-4.348608450828122904e-13
3.504000000000000333e-05,-3.940053593473935552e-13
3.520000000000000180e-05,-2.689305253112735033e-13
3.536000000000000026e-05,-7.745798074206136250e-14
3.551999999999999873e-05,1.405020983750636983e-13
3.568000000000000398e-05,3.302733009457590050e-13
3.584000000000000244e-05,4.375754046745409337e-13
3.600000000000000091e-05,4.273718061343042795e-13
3.615999999999999938e-05,2.991339227638950321e-13
3.631999999999999785e-05,9.110488128875806273e-14
3.648000000000000309e-05,-1.302511317177673266e-13
3.664000000000000156e-05,-2.932273074101363729e-13
3.680000000000000003e-05,-3.478612559624953767e-13
3.695999999999999850e-05,-2.857158394683767759e-13
3.712000000000000374e-05,-1.434439609403269060e-13
3.728000000000000221e-05,1.226207891589469454e-14
3.744000000000000068e-05,1.125577115298216692e-13
3.759999999999999915e-05,1.154366008602430651e-13
3.775999999999999761e-05,2.326977631389894414e-14
3.792000000000000286e-05,-1.187895098508387889e-13
3.808000000000000133e-05,-2.427815484786505055e-13
3.823999999999999979e-05,-2.873924483697699425e-13
3.839999999999999826e-05,-2.238725993597388008e-13
3.856000000000000351e-05,-6.723012732754827890e-14
3.872000000000000197e-05,1.316373823497738438e-13
3.888000000000000044e-05,3.085558392197126034e-13
3.903999999999999891e-05,4.127035973223763275e-13
3.920000000000000416e-05,4.252838039711355447e-13
3.936000000000000262e-05,3.626176216709798845e-13
3.952000000000000109e-05,2.637285219993713136e-13
3.967999999999999956e-05,1.697149200997024396e-13
3.983999999999999803e-05,1.054869091302559001e-13
4.000000000000000327e-05,7.233589916021046575e-14
4.016000000000000174e-05,5.361690433488924315e-14
4.032000000000000021e-05,2.889561851390097735e-14
4.047999999999999868e-05,-1.212449496572813973e-14
4.064000000000000392e-05,-6.371900476277393919e-14
4.080000000000000239e-05,-1.090339753194490730e-13
4.096000000000000086e-05,-1.321086663720227941e-13
4.111999999999999933e-05,-1.293305095610061631e-13
4.127999999999999779e-05,-1.131315357297595736e-13
4.144000000000000304e-05,-1.054420788032120597e-13
4.160000000000000151e-05,-1.245607121049847389e-13
4.175999999999999997e-05,-1.731022534990881180e-13
4.191999999999999844e-05,-2.342177097715400823e-13
4.208000000000000369e-05,-2.786091231831675184e-13
4.224000000000000215e-05,-2.787026517431210561e-13
4.240000000000000062e-05,-2.222726447810383581e-13
4.255999999999999909e-05,-1.181752779572995390e-13
4.271999999999999756e-05,8.602899084407113041e-15
4.288000000000000280e-05,1.293417321262665642e-13
4.304000000000000127e-05,2.241938114606887391e-13
4.319999999999999974e-05,2.880781706303473051e-13
4.335999999999999821e-05,3.272549990807041147e-13
4.352000000000000345e-05,3.496341681307791051e-13
4.368000000000000192e-05,3.554848658269250137e-13
4.384000000000000039e-05,3.346959676817628041e-13
4.399999999999999886e-05,2.725113112265550606e-13
4.416000000000000410e-05,1.603505271867186362e-13
4.432000000000000257e-05,5.120183347442254687e-15
4.448000000000000104e-05,-1.688230317170348016e-13
4.463999999999999950e-05,-3.267163416340679592e-13
4.479999999999999797e-05,-4.360296986802948153e-13
4.496000000000000322e-05,-4.782704737323974225e-13
4.512000000000000169e-05,-4.541859767408370969e-13
4.528000000000000015e-05,-3.803595671256015653e-13
4.543999999999999862e-05,-2.797633232329377513e-13
4.560000000000000387e-05,-1.716252654847264099e-13
4.576000000000000233e-05,-6.563878110171226383e-14
4.592000000000000080e-05,3.738831792357995064e-14
4.607999999999999927e-05,1.399740432079284559e-13
4.623999999999999774e-05,2.413084010360500725e-13
4.640000000000000298e-05,3.332758478977916065e-13
4.656000000000000145e-05,4.009918616167985054e-13
4.671999999999999992e-05,4.272562357975015363e-13
4.687999999999999839e-05,3.987291921141449695e-13
4.704000000000000363e-05,3.114083831163739244e-13
4.720000000000000210e-05,1.737380808306915532e-13
4.736000000000000057e-05,6.626885077687996191e-15
4.751999999999999904e-05,-1.597290734851379214e-13
4.768000000000000428e-05,-2.919479311043127644e-13
4.784000000000000275e-05,-3.616651567471507888e-13
4.800000000000000122e-05,-3.540533866998620720e-13
4.815999999999999968e-05,-2.738816378791890302e-13
4.831999999999999815e-05,-1.461555385871836174e-13
4.848000000000000340e-05,-9.711892104791986591e-15
4.864000000000000186e-05,9.512595290021852134e-14
4.880000000000000033e-05,1.407187844388469031e-13
4.895999999999999880e-05,1.223639474901496465e-13
4.912000000000000405e-05,5.984073351465541783e-14
4.928000000000000251e-05,-1.106124988130662310e-14
